facility_id,facility_name,county,is_houston_area,hospital_ownership,measure_id,measure_name,top_box_pct,completed_surveys
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",60.0,1200.0
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",85.0,1200.0
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",69.0,1200.0
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",63.0,1200.0
450346,BAPTIST BEAUMONT HOSPITAL,JEFFERSON,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",71.0,1200.0
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",67.0,3690.0
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",75.0,3690.0
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",75.0,3690.0
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",58.0,3690.0
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",83.0,3690.0
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",66.0,3690.0
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",56.0,3690.0
