facility_id,facility_name,city,county,hospital_ownership,hospital_type,overall_rating,is_houston_area,readm_pn_pct,readm_hf_pct,mort_hf_pct,mort_pn_pct,hai_clabsi_sir,hai_cauti_sir,sepsis_bundle_pct,ed_left_without_seen_pct,recommend_pct,rated_9_10_pct,hcahps_star
451347,COLEMAN COUNTY MEDICAL CENTER COMPANY,COLEMAN,COLEMAN,Proprietary,Critical Access Hospitals,,False,18.0,,,21.3,,,,,89.0,93.0,
451355,COLLINGSWORTH GENERAL HOSPITAL,WELLINGTON,COLLINGSWORTH,Proprietary,Critical Access Hospitals,,False,,,,,,,,0.0,,,
450370,COLUMBUS COMMUNITY HOSPITAL,COLUMBUS,COLORADO,Voluntary non-profit - Private,Acute Care Hospitals,2.0,False,16.8,21.6,11.2,16.6,,,48.0,2.0,72.0,67.0,3.0
451382,COMANCHE COUNTY MEDICAL CENTER,COMANCHE,COMANCHE,Voluntary non-profit - Private,Critical Access Hospitals,3.0,False,17.5,22.2,11.4,15.9,,,,1.0,76.0,67.0,
451325,CONCHO COUNTY HOSPITAL,EDEN,CONCHO,Government - Local,Critical Access Hospitals,,False,,,,,,,,0.0,,,
450108,CONNALLY MEMORIAL MEDICAL CENTER,FLORESVILLE,WILSON,Government - Hospital District or Authority,Acute Care Hospitals,3.0,False,16.7,21.5,,18.9,,,68.0,1.0,81.0,90.0,
453300,COOK CHILDRENS MEDICAL CENTER,FORT WORTH,TARRANT,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
453317,COOK CHILDRENS MEDICAL CENTER PROSPER,PROSPER,COLLIN,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
451331,COON MEMORIAL HOSPITAL,DALHART,DALLAM,Government - Hospital District or Authority,Critical Access Hospitals,,False,,,,,,,,0.0,65.0,75.0,
450825,CORNERSTONE REGIONAL HOSPITAL,EDINBURG,HIDALGO,Proprietary,Acute Care Hospitals,,False,,,,,,,,5.0,,,
450788,"CORPUS CHRISTI MEDICAL CENTER,THE",CORPUS CHRISTI,NUECES,Voluntary non-profit - Other,Acute Care Hospitals,4.0,False,18.1,20.9,7.5,12.3,0.0,0.217,69.0,1.0,66.0,65.0,3.0
451379,CORYELL MEMORIAL HOSPITAL,GATESVILLE,CORYELL,Government - Hospital District or Authority,Critical Access Hospitals,,False,18.8,,,20.0,,0.0,49.0,3.0,82.0,81.0,5.0
453306,COVENANT CHILDRENS HOSPITAL,LUBBOCK,LUBBOCK,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
450755,COVENANT HOSPITAL LEVELLAND,LEVELLAND,HOCKLEY,Voluntary non-profit - Private,Acute Care Hospitals,,False,16.4,,,15.0,,,62.0,1.0,79.0,75.0,
450539,COVENANT HOSPITAL PLAINVIEW,PLAINVIEW,HALE,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,16.3,21.0,10.7,14.2,,,61.0,3.0,71.0,71.0,3.0
450040,COVENANT MEDICAL CENTER,LUBBOCK,LUBBOCK,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,17.7,20.2,9.7,15.2,0.418,0.367,64.0,7.0,70.0,70.0,3.0
451353,CRANE COUNTY HOSPITAL DISTRICT,CRANE,CRANE,Government - Hospital District or Authority,Critical Access Hospitals,,False,,,,,,,,,,,
670090,CRESCENT MEDICAL CENTER LANCASTER,LANCASTER,DALLAS,Proprietary,Acute Care Hospitals,2.0,False,17.1,21.8,,,,,,3.0,51.0,62.0,
451393,CROCKETT MEDICAL CENTER,CROCKETT,HOUSTON,Physician,Critical Access Hospitals,,False,,,,,,,,1.0,,,
670779,CROSBYTON CLINIC HOSPITAL,CROSBYTON,CROSBY,Voluntary non-profit - Private,Rural Emergency Hospital,,False,,,,,,,,,,,
454133,CROSS CREEK HOSPITAL,AUSTIN,TRAVIS,Proprietary,Psychiatric,,False,,,,,,,,,,,
450597,CUERO REGIONAL HOSPITAL,CUERO,DE WITT,Government - Hospital District or Authority,Acute Care Hospitals,4.0,False,16.8,21.3,11.8,15.6,,,61.0,5.0,71.0,74.0,
451338,CULBERSON HOSPITAL,VAN HORN,CULBERSON,Voluntary non-profit - Other,Critical Access Hospitals,,False,,,,,,,,0.0,,,
454108,CYPRESS CREEK HOSPITAL,HOUSTON,HARRIS,Proprietary,Psychiatric,,True,,,,,,,,,,,
454126,DALLAS BEHAVIORAL HEALTHCARE HOSPITAL LLC,DE SOTO,DALLAS,Voluntary non-profit - Other,Psychiatric,,False,,,,,,,,,,,
450379,DALLAS MEDICAL CENTER,DALLAS,DALLAS,Proprietary,Acute Care Hospitals,3.0,False,17.5,20.5,,13.0,,,66.0,1.0,62.0,60.0,3.0
450688,DALLAS REGIONAL MEDICAL CENTER,MESQUITE,DALLAS,Proprietary,Acute Care Hospitals,3.0,False,16.7,21.5,10.7,16.8,0.435,0.316,65.0,3.0,63.0,64.0,3.0
